FileDesignation	Ltotal	L20	L25	L32	L40	L50	L63	L80	L100	L125	L160	L200	L250	L315	L400	L500	L630	L800	L1k	L1k25	L1k6	L2k	L2k5	L3k15	L4k	L5k	L6k3	L8k	L10k	L12k5	L16k
66	-26.285	-102.086	-95.079	-87.449	-75.582	-67.929	-61.29	-45.299	-37.849	-37.993	-44.059	-37.065	-37.476	-42.17	-44.773	-43.904	-33.468	-38.245	-40.902	-31.587	-43.248	-47.754	-44.756	-49.038	-50.435	-54.51	-51.779	-54.276	-63.405	-71.013	-81.117
67	-26.26	-105.535	-95.95	-86.35	-76.89	-65.522	-60.245	-48.673	-36.874	-33.86	-36.884	-37.899	-35.165	-39.926	-41.1	-40.57	-36.855	-44.775	-42.911	-35.849	-38.745	-45.602	-42.155	-43.769	-50.394	-52.702	-47.398	-51.268	-60.705	-66.72	-78.721
68	-25.785	-98.307	-93.165	-86.385	-76.973	-63.349	-61.134	-48.286	-38.191	-34.709	-36.022	-39.924	-38.349	-42.747	-41.854	-40.951	-33.289	-40.124	-38.615	-32.594	-41.358	-43.754	-42.507	-45.699	-51.972	-54.954	-45.215	-48.807	-58.601	-66.494	-79.209
69	-28.635	-105.261	-96.086	-84.445	-78.284	-65.141	-59.955	-49.826	-39.727	-35.383	-36.931	-44.371	-40.74	-44.096	-40.854	-38.437	-40.645	-48.566	-48.826	-41.682	-43.526	-41.137	-46.221	-46.771	-47.3	-49.853	-46.65	-50.072	-57.074	-65.93	-76.9
70	-26.535	-105.379	-93.047	-84.168	-80.331	-66.469	-61.143	-48.308	-35.123	-35.268	-36.272	-36.344	-37.82	-40.178	-40.006	-38.59	-36.662	-39.748	-44.374	-36.269	-43.787	-48.012	-47.875	-51.063	-57.219	-56.922	-49.765	-56.033	-63.172	-69.769	-84.93
71	-25.835	-98.296	-94.717	-85.106	-71.835	-65.761	-61.375	-50.866	-40.729	-34.343	-35.83	-42.04	-38.193	-44.248	-42.628	-37.254	-31.898	-36.84	-37.284	-36.097	-40.642	-42.865	-45.559	-50.988	-56.633	-62.717	-60.049	-62.219	-64.763	-75.069	-84.829
72	-25.297	-103.597	-92.257	-82.15	-73.493	-61.344	-58.394	-41.056	-34.863	-34.43	-32.411	-33.937	-32.081	-37.743	-41.543	-41.655	-43.932	-49.703	-44.267	-37.889	-47.327	-46.515	-48.159	-47.414	-53.034	-55.234	-49.039	-52.973	-62.998	-67.918	-81.783
73	-27.372	-103.014	-92.389	-82.683	-71.444	-60.336	-59.462	-43.795	-35.007	-35.732	-40.594	-35.297	-35.634	-40.887	-42.388	-43.843	-44.494	-52.856	-50.892	-41.372	-41.595	-44.606	-43.245	-44.912	-50.085	-49.644	-42.383	-45.68	-55.844	-62.268	-78.423
74	-25.697	-107.616	-94.032	-88.506	-77.547	-65.497	-60.729	-38.542	-36.953	-36.336	-34.088	-35.24	-33.461	-38.796	-43.724	-41.865	-35.903	-43.992	-49.128	-37.538	-38.619	-45.332	-42.032	-47.612	-49.269	-52.538	-44.782	-46.895	-60.111	-64.602	-78.525
75	-24.547	-97.721	-91.771	-84.28	-75.316	-57.858	-55.351	-48.833	-32.752	-31.371	-40.652	-32.89	-33.774	-37.832	-43.535	-38.995	-34.03	-40.834	-44.055	-36.324	-40.895	-41.921	-45.197	-45.919	-54.315	-53.244	-49.979	-61.154	-64.948	-70.998	-82.789
